# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58639.468933 -4.500967
67 58639.473828 -4.814302
67 58639.480358 -4.849243
67 58639.541978 -2.686481
67 58639.569957 -1.789617
67 58639.640526 -0.710763
67 58639.693059 -5.909574
67 58639.699502 -5.972706
67 58639.726548 -5.596396
67 58639.745291 -6.109170
67 58639.768336 -4.756973
67 58639.778777 -4.628672
67 58639.783074 -4.301495
67 58639.792627 -3.485536
67 58639.797513 -3.228360
67 58639.812221 -1.978335
67 58639.835647 1.469260
67 58639.840540 2.225192
67 58653.301169 2.169005
67 58653.337263 2.102692
67 58653.341583 2.598217
67 58653.346608 3.367740
67 58653.393277 6.547220
67 58653.398935 6.167818
67 58653.411136 4.974322
67 58653.494113 4.328747
67 58653.537794 4.806482
67 58653.543703 4.193085
67 58653.553220 3.431821
67 58653.570966 1.814814
67 58653.644653 4.365587
67 58653.678458 2.228641
67 58653.729718 1.269070
67 58653.739346 1.289776
67 58653.752092 1.123855
67 58653.787175 2.354254
67 58653.827289 1.793536
67 58654.339268 1.122928
67 58654.403394 4.924051
67 58654.495416 2.870824
67 58654.500045 2.712268
67 58654.514075 2.318364
67 58654.528459 1.833153
67 58654.567284 1.935788
67 58654.615594 2.941211
67 58654.625734 3.419746
67 58654.641727 3.949171
67 58654.708680 3.424572
67 58654.715697 3.131552
67 58654.723644 3.336317
67 58655.256083 2.893829
67 58655.293421 4.338343
67 58655.371056 -4.000700
67 58655.377073 -2.874143
67 58655.398920 2.245235
67 58655.500825 8.822246
67 58655.508131 8.874606
67 58655.522377 8.539370
67 58655.587689 0.344439
67 58655.592818 -0.358046
